,author,author_id
537,Anthony Bourdain,-8206267066169508982
538,Anthony Bourdain,-8206267066169508982
539,Ovid,-7064809776391635397
540,Ovid,-7064809776391635397
541,Ovid,-7064809776391635397
542,Ovid,-7064809776391635397
543,Ovid,-7064809776391635397
544,Norma Goldman,4946783099161241482
545,Ovid,-7064809776391635397
546,Ovid,-7064809776391635397
547,Ovid,-7064809776391635397
548,Ovid,-7064809776391635397
549,Norma Goldman,4946783099161241482
550,Michael C.J. Putnam,6280261033634930183
551,Charles Segal,6681589377649133397
552,Sophocles,-2119505085092608038
553,Sophocles,-2119505085092608038
554,Richard Johnsonbaugh,7378531897016214075
555,Homer,2508115560618025833
556,Simon Goldhill,-2792082447353272044
557,Simon Goldhill,-2792082447353272044
558,Simon Goldhill,-2792082447353272044
559,Simon Goldhill,-2792082447353272044
560,Daniel Pinchbeck,4544681438904673142
561,Daniel Pinchbeck,4544681438904673142
562,Jon Ronson,-1079546215955551504
563,Jon Ronson,-1079546215955551504
564,Jared Diamond,6909823684694830924
565,Daniel Duane,6184698236739025767
566,Jon Krakauer,-7148473045524340231
567,John Eldredge,5131440022752366956
568,Jung Chang,883375678156619824
569,Nelson DeMille,-6377049935303335094
570,Catherine Coulter,1925365673467634143
571,Jack London,-9029537975474712516
572,Judy Sierra,6436296968806661876
573,Charles P. Rubenstein,-5569998385107135052
574,Barbara Ehrenreich,-1531036557233383301
575,Michel Foucault,-5143261523647763533
576,Michel Foucault,-5143261523647763533
577,Michel Foucault,-5143261523647763533
578,Sue Birtwistle,-5092634740815003858
579,Jane Austen,-7374479352329811559
580,Jane Austen,-7374479352329811559
581,Jane Austen,-7374479352329811559
582,Jane Austen,-7374479352329811559
583,Jon Krakauer,-7148473045524340231
584,David  Roberts,8034758468406526983
585,Jon Krakauer,-7148473045524340231
586,Valerian Albanov,-246867510667382652
587,Thomas L. Friedman,5048683671487041938
588,Thomas L. Friedman,5048683671487041938
589,David McClung,8810031762860719330
590,Arthur J. Roth,-3711785823755293116
591,Louisa May Alcott,-5322454933936489978
592,Louisa May Alcott,-5322454933936489978
593,Louisa May Alcott,-5322454933936489978
594,Louisa May Alcott,-5322454933936489978
595,Louisa May Alcott,-5322454933936489978
596,Louisa May Alcott,-5322454933936489978
597,Charles Dickens,1254664247001930541
598,Charles Dickens,1254664247001930541
599,SparkNotes,-1254135353599385202
600,Charles Dickens,1254664247001930541
601,Charles Dickens,1254664247001930541
602,James B. Stewart,-6582292566102402576
603,Julia Golding,-894375581456896668
604,Charles Dickens,1254664247001930541
605,Charles Dickens,1254664247001930541
606,Charles Dickens,1254664247001930541
607,Daniel Pool,-6908599456605153599
608,Jane Smiley,-6752589625934966480
609,Charles Dickens,1254664247001930541
610,Jared Diamond,6909823684694830924
611,Jared Diamond,6909823684694830924
612,Colleen Sexton,41396835754519936
613,J.K. Rowling,-7231496022189490415
614,Philip Nel,-6360465303457751328
615,J.K. Rowling,-7231496022189490415
616,Frank Herbert,6594680308900839862
617,Frank Herbert,6594680308900839862
618,Frank Herbert,6594680308900839862
619,Sean O'Brien,-8629615757933534530
620,Aristophanes,-7217568278616247386
621,Aristophanes,-7217568278616247386
622,Radcliffe G. Edmonds III,-1148939828709887607
623,Aristophanes,-7217568278616247386
624,Aristophanes,-7217568278616247386
625,Paul Anthony Cartledge,-6124303751868930635
626,Raymond Chandler,-6581637553498721574
627,Raymond Chandler,-6581637553498721574
628,Raymond Chandler,-6581637553498721574
629,Raymond Chandler,-6581637553498721574
630,Raymond Chandler,-6581637553498721574
631,Raymond Chandler,-6581637553498721574
632,Raymond Chandler,-6581637553498721574
633,Paul Murray,-1877925778887460667
634,Patti   Davis,2028565951105996968
635,Masaki Yamada,-8390926961403616845
636,Raymond Chandler,-6581637553498721574
637,Daniel C. Dennett,2056733869489111186
638,Daniel C. Dennett,2056733869489111186
639,Daniel C. Dennett,2056733869489111186
640,Daniel C. Dennett,2056733869489111186
641,Daniel C. Dennett,2056733869489111186
642,Nicholas Humphrey,-3631384541587933382
643,Daniel C. Dennett,2056733869489111186
644,Douglas R. Hofstadter,5758519684910681471
645,Stephen Hawking,-1182206351854447902
646,Stephen Hawking,-1182206351854447902
647,Stephen Hawking,-1182206351854447902
648,Stephen Hawking,-1182206351854447902
649,David Filkin,7548936548600622279
650,Stephen Hawking,-1182206351854447902
651,John Boslough,2920117761935220192
652,Stephen Hawking,-1182206351854447902
653,Lawrence M. Krauss,-6570847350545626420
654,Phillip Glasier,5647115181805750581
655,Timothy Ferris,8224242354318127356
656,Ayn Rand,7909660126921869110
657,Ayn Rand,7909660126921869110
658,Ayn Rand,7909660126921869110
659,Nancy L. Mace,1220470942447085885
660,Jorge Cruise,6427864761700355281
661,Thom Hartmann,8726513984658687831
662,Michael Cunningham,-4414710637103464336
663,Michael Cunningham,-4414710637103464336
664,Malcolm Gladwell,-8474747018488826683
665,Ted Dekker,-2996996533789145436
666,Mark Hoppus,-2126615722651795524
667,Jane Austen,-7374479352329811559
668,Karen Joy Fowler,-6035751041129741169
669,Jane Austen,-7374479352329811559
670,Jane Austen,-7374479352329811559
671,Jane Austen,-7374479352329811559
672,Kim Wilson,-4061441134815376177
673,Ernest Hemingway,3957905676145642389
674,Jeanne Sallade Criswell,1135181760891731101
675,Julian Barnes,5559794505790061473
676,Gustave Flaubert,-8372501644021598271
677,Gustave Flaubert,-8372501644021598271
678,Gustave Flaubert,-8372501644021598271
679,Gustave Flaubert,-8372501644021598271
680,Jean-Paul Sartre,4363745112147445380
681,Jeffrey Eugenides,5314608773111354758
682,Doris Kearns Goodwin,2623315676557711421
683,David McCullough,51651438944194875
684,Thomas May,-1865453775455247196
685,Abigail Adams,-9022989187238855108
686,Joseph J. Ellis,2818666680930139914
687,John  Adams,-9079255236804057192
688,Ruth Westheimer,2271962050864914227
689,Jennifer Watson,-4963521885779434642
690,David D. Burns,-8957208585487845447
691,Elisabeth Kübler-Ross,745440573673674987
692,Elisabeth Kübler-Ross,745440573673674987
693,Lynne Ann DeSpelder,2392030873892805049
694,Mark Shepard,-7321167808960266441
695,Stephen R. Covey,-5973364620845888808
696,Stephen R. Covey,-5973364620845888808
697,Stephen R. Covey,-5973364620845888808
698,Dan Millman,5192499895474963662
699,Dan Millman,5192499895474963662
700,Lance Armstrong,-2013383628543913409
701,John Wilcockson,4743661156127757724
702,David McCullough,51651438944194875
703,Truman Capote,4926705289323003873
704,Truman Capote,4926705289323003873
705,Margaret Truman,5420248231723327328
706,Margaret Truman,5420248231723327328
707,Truman Capote,4926705289323003873
708,Truman Capote,4926705289323003873
709,Steven Johnson,-2269054627036283888
710,Temple Grandin,1774179375870050444
711,Iris Fry,-5307546917276565879
712,Edith Wharton,1760296693578961592
713,Edith Wharton,1760296693578961592
714,Edith Wharton,1760296693578961592
715,Edith Wharton,1760296693578961592
716,Edith Wharton,1760296693578961592
717,Zilpha Keatley Snyder,-3669076912399391855
718,Zilpha Keatley Snyder,-3669076912399391855
719,Douglas Adams,2124749463266512826
720,Douglas Adams,2124749463266512826
