author;author_id
Patricia Daniels Cornwell;79132880,00
John Saul;66708926,00
Saul Williams;87151169,00
Saul Leiter;6316623,00
Saul Bellow;76709135,00
Linda Jones;90424902,00
Mark Leyner;25467351,00
Candace Bushnell;16008624,00
Allen Carr;95052216,00
Siegfried Engelmann;59713901,00
Jim Henson;95016656,00
Sherrilyn Kenyon;40120299,00
Jasper Fforde;8147838,00
Renee Baron;3218763,00
Crissy Trask;30122065,00
Dallas Willard;57209255,00
Dante Alighieri;21229704,00
Karen Kingsbury;89720472,00
Julie Otsuka;19396816,00
David Noonan;38687643,00
Mary K. Baxter;99927297,00
Lyle Saxon;94983023,00
Eckhart Tolle;78854320,00
Douglas Clegg;49138205,00
Christopher Golden;64312055,00
Hope S. Warshaw;38534812,00
R. de Roussy de Sales;73534074,00
Douglas Downing;34273096,00
Peter Biskind;81617378,00
David Mitchell;78954931,00
Liam Callanan;59510644,00
William Camann;54066792,00
John A. McDougall;80190918,00
David A. Stewart;55087542,00
John Sandford;35541884,00
Jean Sasson;65605914,00
Fodor's Travel Publications Inc.;43563399,00
Barbara Bretton;41071103,00
Plum Sykes;81256783,00
Mavis Applewater;83809383,00
Nora Kelly;55868717,00
Estelle B. Freedman;60942841,00
Jean Marzollo;41310593,00
Richard Nelson Bolles;74175929,00
Michael Neill;18242767,00
Laura Esquivel;15770151,00
Emma Holly;69032868,00
Esther Schor;69534753,00
Sue Monk Kidd;34361140,00
Bryan Sykes;86070348,00
Wanda Sykes;9355902,00
Charles J. Sykes;52564380,00
Eric Sykes;75443549,00
CliffsNotes;14112706,00
Kathryn Lasky;48559188,00
Alexander McCall Smith;96603147,00
Murasaki Shikibu;82519218,00
Yoshitaka Amano;70485100,00
Adam Gopnik;24021182,00
Émile Zola;36090609,00
Richard A. Hawley;73087111,00
Philip K. Dick;30093307,00
K.A. Applegate;67649162,00
Tracy Kidder;42890196,00
Peter Cozzens;99020766,00
Bruce Catton;29790258,00
John Dos Passos;87268998,00
Alexandre Dumas;78045573,00
Lawrence M. Friedman;68553783,00
Elliott Currie;58582302,00
Cesare Beccaria;85485138,00
Katherine Beckett;66232831,00
Alexandre Dumas fils;13716627,00
Jeffrey Archer;8218942,00
Frances Mayes;49760976,00
Donald Miller;56872844,00
Kate Sedley;24969441,00
Jenna Jameson;70122489,00
Matthew Scully;51139102,00
Charlie Huston;61053045,00
Randy Alcorn;57991269,00
Pamela Duncan Edwards;41963027,00
Masamune Shirow;22622866,00
Richard B. Primack;58046537,00
Elliott A. Norse;29190013,00
David W. Macdonald;54315552,00
Jim Dutcher;57252563,00
Rosita Arvigo;55567820,00
Zolar;83316926,00
Pamela Ball;73268567,00
Humphrey Carpenter;79280219,00
Janet Brennan Croft;67169593,00
Brian Sibley;75387103,00
Ralph C. Wood;59769327,00
